name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacillota	1239	P	398458	29303	427761	0.40193
Actinomycetota	201174	P	47321	874	48195	0.04528
Mycoplasmatota	544448	P	3634	7	3641	0.00342
Cyanobacteriota	1117	P	2695	0	2695	0.00253
Chloroflexota	200795	P	101	0	101	0.00009
Pseudomonadota	1224	P	260805	10434	271239	0.25486
Bacteroidota	976	P	125338	1580	126918	0.11925
Rhodothermota	1853220	P	99	0	99	0.00009
Gemmatimonadota	142182	P	669	2	671	0.00063
Spirochaetota	203691	P	4869	0	4869	0.00457
Campylobacterota	29547	P	3720	1674	5394	0.00507
Thermodesulfobacteriota	200940	P	920	44	964	0.00091
Planctomycetota	203682	P	566	0	566	0.00053
Chlamydiota	204428	P	185	0	185	0.00017
Thermomicrobiota	3027942	P	300	0	300	0.00028
Acidobacteriota	57723	P	125	0	125	0.00012
Bdellovibrionota	3018035	P	44	0	44	0.00004
Deferribacterota	200930	P	27	0	27	0.00003
Deinococcota	1297	P	4142	5	4147	0.00390
Fusobacteriota	32066	P	3909	11	3920	0.00368
Methanobacteriota	28890	P	87200	1344	88544	0.08320
Thermoplasmatota	2283796	P	1627	0	1627	0.00153
Thermoproteota	28889	P	2188	36	2224	0.00209
Nitrososphaerota	651137	P	1475	6	1481	0.00139
Nanobdellota	192989	P	71	0	71	0.00007
Candidatus Nanohalarchaeota	1462430	P	63	21	84	0.00008
Candidatus Micrarchaeota	1801631	P	24	0	24	0.00002
Promethearchaeota	3366641	P	92	1	93	0.00009
Chordata	7711	P	45480	3701	49181	0.04621
Uroviricota	2731618	P	16140	23	16163	0.01519
Peploviricota	2731361	P	149	0	149	0.00014
Nucleocytoviricota	2732007	P	956	0	956	0.00090
Preplasmiviricota	2732008	P	673	16	689	0.00065
Negarnaviricota	2497569	P	955	34	989	0.00093
Lenarviricota	2732407	P	52	0	52	0.00005
Pisuviricota	2732408	P	37	0	37	0.00003
Kitrinoviricota	2732406	P	24	0	24	0.00002
Cossaviricota	2732415	P	10	0	10	0.00001
